Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Семечки Бабкины Семечки 100г	54.99	0.0	1 шт	54.99	https://photos.okolo.app/product/1177412-main/320x320.jpeg
Кукуруза Mixbar Попкорн Сладкий Карамель лопающаяся 100г	69.99	13	1 шт	79.99	https://photos.okolo.app/product/1174590-main/320x320.jpeg
Семечки От Мартина чёрные отборные жареные с морской солью, 100г	48.19	0.0	1 шт	48.19	https://photos.okolo.app/product/1174531-main/320x320.jpeg
Попкорн Party Mixbar сладко-солёный, 85г	51.74	0.0	1 шт	51.74	https://photos.okolo.app/product/1174410-main/320x320.jpeg
Попкорн Mixbar со вкусом сыра, 85г	51.74	0.0	1 шт	51.74	https://photos.okolo.app/product/1174409-main/320x320.jpeg
Попкорн Mixbar Party солёный, 100г	51.74	0.0	1 шт	51.74	https://photos.okolo.app/product/1174408-main/320x320.jpeg
Чипсы Lay's сметана и зелень 225г	189.99	0.0	1 шт	189.99	https://photos.okolo.app/product/1173417-main/320x320.jpeg
Сухарики-гренки Воронцовские ржаные со вкусом чеснока, 60г	44.99	0.0	1 шт	44.99	https://photos.okolo.app/product/1171138-main/320x320.jpeg
Камбала От Рыбаков сушеная 100г	154.99	0.0	1 шт	154.99	https://photos.okolo.app/product/1170301-main/320x320.jpeg
Семечки От Мартина отборные жареные, 200г	99.99	21	1 шт	125.99	https://photos.okolo.app/product/1168953-main/320x320.jpeg
Сухарики Хрусteam Багет королевский краб 60г	44.99	0.0	1 шт	44.99	https://photos.okolo.app/product/1168049-main/320x320.jpeg
Палочки кукурузные Кузя Лакомкин сладкие, 140г	71.99	0.0	1 шт	71.99	https://photos.okolo.app/product/1167356-main/320x320.jpeg
Минтай Fish House вяленый соломка c перцем, 70г	119.99	0.0	1 шт	119.99	https://photos.okolo.app/product/1167090-main/320x320.jpeg
Вобла Fish House вяленая, 300г	224.99	0.0	1 шт	224.99	https://photos.okolo.app/product/1167029-main/320x320.jpeg
Рыбка Fish House Янтарная с перцем, 70г	119.99	0.0	1 шт	119.99	https://photos.okolo.app/product/1167028-main/320x320.jpeg
FISH HOUSE Кальмар сушеный кольца, 70г	79.99	27	1 шт	109.99	https://photos.okolo.app/product/1167010-main/320x320.jpeg
Кальмар сушеный Fish House стружка 70г	79.99	27	1 шт	109.99	https://photos.okolo.app/product/1167009-main/320x320.jpeg
Сухарики Хрусteam Багет томат-зелень 60г	44.99	0.0	1 шт	44.99	https://photos.okolo.app/product/1166825-main/320x320.jpeg
Сухарики Хрусteam Багет сырное ассорти 60г	44.99	0.0	1 шт	44.99	https://photos.okolo.app/product/1166824-main/320x320.jpeg
Семечки Бабкины Семечки, 300г	128.99	0.0	1 шт	128.99	https://photos.okolo.app/product/1166817-main/320x320.jpeg
Янтарная рыбка Сухогруз сушёная филе, 70г	162.99	0.0	1 шт	162.99	https://photos.okolo.app/product/1166810-main/320x320.jpeg
Семечки От Атамана Кубанские отборные жареные, 250г	79.99	14	1 шт	93.49	https://photos.okolo.app/product/1166692-main/320x320.jpeg
Путассу Fish House сушёно-вяленая, 70г	69.99	30	1 шт	99.99	https://photos.okolo.app/product/1166639-main/320x320.jpeg
Полосатик Fish House желтый сушеный, 70 г	119.99	0.0	1 шт	119.99	https://photos.okolo.app/product/1166629-main/320x320.jpeg
Семечки От Мартина белые солёные, 100г	59.99	20	1 шт	74.99	https://photos.okolo.app/product/1166358-main/320x320.jpeg
Чипсы Lorenz Pomsticks соломкой с солью 100г	74.99	38	1 шт	119.99	https://photos.okolo.app/product/1157935-main/320x320.jpeg
Соломка из горбуши Fish House Классическая вяленая, 40г	89.99	0.0	1 шт	89.99	https://photos.okolo.app/product/1164514-main/320x320.jpeg
Семечки подсолнечника Джинн жареные, 140г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1164425-main/320x320.jpeg
Сухарики Воронцовские ржано-пшеничные со вкусом лисичек жареными в сметане, 40г	26.99	0.0	1 шт	26.99	https://photos.okolo.app/product/1164152-main/320x320.jpeg
Ставридка Сухогруз сушёная, 70г	163.99	0.0	1 шт	163.99	https://photos.okolo.app/product/1163392-main/320x320.jpeg
Семечки От Мартина отборные жареные, 100г	48.19	0.0	1 шт	48.19	https://photos.okolo.app/product/1162416-main/320x320.jpeg
Сухарики Три корочки со вкусом сёмга с сыром 60г + соус тартар 25мл	39.49	0.0	1 шт	39.49	https://photos.okolo.app/product/1161847-main/320x320.jpeg
Сухарики Три корочки со вкусом бекона 60г + кетчуп Heinz 25мл	43.99	0.0	1 шт	43.99	https://photos.okolo.app/product/1161033-main/320x320.jpeg
