Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Соус Astoria Чесночный Оригинальный 200г;69.99;30;1 шт;99.99;https://photos.okolo.app/product/1466897-main/320x320.jpeg
Макароны Макстори Гнезда итальянские 300г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1465830-main/320x320.jpeg
Пюре картофельное Кунцево 240г;79.99;0.0;1 шт;79.99;https://photos.okolo.app/product/1459276-main/320x320.jpeg
Лапша яичная Пекарев и К Домашняя 400г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1464752-main/320x320.jpeg
Рис шлифованный дробленый 900г;56.19;0.0;1 шт;56.19;https://photos.okolo.app/product/1456246-main/320x320.jpeg
Кетчуп Слобода Томатный 320г;120.74;0.0;1 шт;120.74;https://photos.okolo.app/product/1465608-main/320x320.jpeg
Батончик Невский Кондитер So Crispy с клубникой 40г;19.99;0.0;1 шт;19.99;https://photos.okolo.app/product/1456759-main/320x320.jpeg
Макароны Гальяни рожки рифленые 450г;62.99;16;1 шт;74.99;https://photos.okolo.app/product/1449265-main/320x320.jpeg
Макароны Гальяни пружинки 450г;62.99;16;1 шт;74.99;https://photos.okolo.app/product/1449264-main/320x320.jpeg
Крупа Global Village пшеничная полтавская 5x80г;64.99;0.0;1 шт;64.99;https://photos.okolo.app/product/1439281-main/320x320.jpeg
Батончик-мюсли Bombbar Клубника, 45г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1441605-main/320x320.jpeg
Изделия макаронные MAKFA Спагетти вермишель длинная группа А высший сорт 450г;69.99;13;1 шт;80.49;https://photos.okolo.app/product/1441912-main/320x320.jpeg
Мюсли Mollis запеченные с яблоком и грушей 300г;89.99;14;1 шт;104.99;https://photos.okolo.app/product/1463671-main/320x320.jpeg
Кетчуп Heinz со вкусом клюква для шашлыка 320г;100.99;0.0;1 шт;100.99;https://photos.okolo.app/product/1440997-main/320x320.jpeg
Кетчуп Heinz Овощи на гриле для шашлыка 320г;100.99;0.0;1 шт;100.99;https://photos.okolo.app/product/1440996-main/320x320.jpeg
Спагетти Federici №3 400г;105.99;0.0;1 шт;105.99;https://photos.okolo.app/product/1438026-main/320x320.jpeg
Вермишель Federici №96 400г;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1439920-main/320x320.jpeg
Подушечки Любятово с банановой начинкой 220г;99.99;29;1 шт;139.99;https://photos.okolo.app/product/1466936-main/320x320.jpeg
Подушечки Любятово с молочной начинкой 220г;89.99;36;1 шт;139.99;https://photos.okolo.app/product/1433997-main/320x320.jpeg
Подушечки Любятово с шоколадной начинкой 220г;89.99;36;1 шт;139.99;https://photos.okolo.app/product/1433996-main/320x320.jpeg
Масло оливковое Global Village Selection Extra Virgin нерафинированное недезодорированное 500мл;314.99;30;1 шт;449.99;https://photos.okolo.app/product/1430747-main/320x320.jpeg
Масло Global Village Selection подсолнечное с экстрактом чеснока 0.81л;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1429252-main/320x320.jpeg
Цикорий Great Life растворимый порошкообразный 85г;64.99;0.0;1 шт;64.99;https://photos.okolo.app/product/1433933-main/320x320.jpeg
Хрен Global Village столовый 100г;54.99;0.0;1 шт;54.99;https://photos.okolo.app/product/1405561-main/320x320.jpeg
Мука Селяночка пшеничная хлебопекарная экстра 2кг;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1412616-main/320x320.jpeg
Масло подсолнечное Global Village Selection с экстрактом базилика 0.81л;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1429251-main/320x320.jpeg
Макароны Зерница Вермишель 450г;49.99;0.0;1 шт;49.99;https://photos.okolo.app/product/1429115-main/320x320.jpeg
Пшено Селяночка шлифованное 800г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1435481-main/320x320.jpeg
Горох Селяночка колотый желтый шлифованный 800г;74.99;0.0;1 шт;74.99;https://photos.okolo.app/product/1435647-main/320x320.jpeg
Фасоль Global Village белая 450г;119.99;20;1 шт;149.99;https://photos.okolo.app/product/1429253-main/320x320.jpeg
Чечевица Global Village зеленая 450г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1436532-main/320x320.jpeg
Крупа Global Village пшено шлифованное в пакетиках для варки 5х80г;64.99;0.0;1 шт;64.99;https://photos.okolo.app/product/1412430-main/320x320.jpeg
Крупа Global Village перловая в пакетиках для варки 5х80г;64.99;0.0;1 шт;64.99;https://photos.okolo.app/product/1412428-main/320x320.jpeg
Лист Рестория лавровый целый сушеный 5г;44.99;0.0;1 шт;44.99;https://photos.okolo.app/product/1429041-main/320x320.jpeg
Гвоздика Рестория целая 15г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1405806-main/320x320.jpeg
Смесь перцев Рестория дробленая 15г;32.99;11;1 шт;36.99;https://photos.okolo.app/product/1412731-main/320x320.jpeg
Перец молотый Рестория черный 50г;66.99;11;1 шт;74.99;https://photos.okolo.app/product/1405805-main/320x320.jpeg
Фруктоза Great Life кристаллическая 500г;199.99;0.0;1 шт;199.99;https://photos.okolo.app/product/1422779-main/320x320.jpeg
Каша Mollis овсяная с молоком и со вкусом клубники 40г;19.99;0.0;1 шт;19.99;https://photos.okolo.app/product/1398633-main/320x320.jpeg
Каша Mollis овсяная с молоком со вкусом абрикоса 40г;19.99;0.0;1 шт;19.99;https://photos.okolo.app/product/1398632-main/320x320.jpeg
Каша Mollis овсяная с молоком и со вкусом черники 40г;19.99;0.0;1 шт;19.99;https://photos.okolo.app/product/1398631-main/320x320.jpeg
Кетчуп Heinz Для гриля и шашлыка 320г;114.99;0.0;1 шт;114.99;https://photos.okolo.app/product/1392829-main/320x320.jpeg
Кетчуп Heinz Томатный 320г;114.99;0.0;1 шт;114.99;https://photos.okolo.app/product/1392827-main/320x320.jpeg
Кетчуп Heinz Острый 320г;114.99;0.0;1 шт;114.99;https://photos.okolo.app/product/1392826-main/320x320.jpeg
Мука Селяночка овсяная из хлопьев 400г;54.99;0.0;1 шт;54.99;https://photos.okolo.app/product/1405679-main/320x320.jpeg
Мука Селяночка рисовая 500г;74.99;0.0;1 шт;74.99;https://photos.okolo.app/product/1405678-main/320x320.jpeg
Мука Селяночка кукурузная 500г;54.99;0.0;1 шт;54.99;https://photos.okolo.app/product/1405677-main/320x320.jpeg
Соль Рестория Гималайская розовая мелкая 500г;109.99;0.0;1 шт;109.99;https://photos.okolo.app/product/1412617-main/320x320.jpeg
Масло подсолнечное Global Village с добавлением оливкового 810мл;109.99;0.0;1 шт;109.99;https://photos.okolo.app/product/1390812-main/320x320.jpeg
Мука ржаная Селяночка хлебопекарная 1кг;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1399614-main/320x320.jpeg
Мука Селяночка пшеничная первый сорт 2кг;84.99;0.0;1 шт;84.99;https://photos.okolo.app/product/1398629-main/320x320.jpeg
Молоко сухое Си-Продукт ГОСТ цельное 26% 200г;209.99;0.0;1 шт;209.99;https://photos.okolo.app/product/1357772-main/320x320.jpeg
