Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Томаты GLOBAL VILLAGE Черри на ветке 250г.	139.99	0.0	1 шт	139.99	https://photos.okolo.app/product/1211388-main/320x320.jpeg
Семена Mixbar подсолнечника жареные с добавлением морской соли 100г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1209203-main/320x320.jpeg
Семечки подсолнечные Mixbar жареные 200г	54.99	0.0	1 шт	54.99	https://photos.okolo.app/product/1207682-main/320x320.jpeg
Фундук в скорлупе	539.99	0.0	1 кг	539.99	https://photos.okolo.app/product/1207494-main/320x320.jpeg
Смесь фруктовая Mixbar Компотная, 500г	179.99	16	1 шт	214.99	https://photos.okolo.app/product/1207075-main/320x320.jpeg
Ядра миндаля Красная Цена жареные 100г	159.99	0.0	1 шт	159.99	https://photos.okolo.app/product/1206769-main/320x320.jpeg
Орехи Красная цена Ядра фундука 100г	148.99	0.0	1 шт	148.99	https://photos.okolo.app/product/1205771-main/320x320.jpeg
Арахис в скорлупе сырой	349.99	0.0	1 кг	349.99	https://photos.okolo.app/product/1205454-main/320x320.jpeg
Орех грецкий в скорлупе	529.99	0.0	1 кг	529.99	https://photos.okolo.app/product/1205453-main/320x320.jpeg
Орехи Красная цена фисташки неочищенные жареные соленые 100г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1205353-main/320x320.jpeg
Лимон с имбирем и сахаром протертый 200г	69.99	0.0	1 шт	69.99	https://photos.okolo.app/product/1205098-main/320x320.jpeg
Десерт Сила традиции Манго 2х100г	119.99	0.0	1 шт	119.99	https://photos.okolo.app/product/1204395-main/320x320.jpeg
Десерт Сила Традиций клубника 2х100г	119.99	0.0	1 шт	119.99	https://photos.okolo.app/product/1204393-main/320x320.jpeg
Томаты вяленые 100г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1204389-main/320x320.jpeg
Дск Киви спелое 1 упаковка	109.99	0.0	1 шт	109.99	https://photos.okolo.app/product/1413895-main/320x320.jpeg
Цукаты Mixbar Ананас и папайя, 150г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1201907-main/320x320.jpeg
Яблоки Голден 700г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1201365-main/320x320.jpeg
Ядра арахиса Красная цена жареные соленые 80г	26.99	0.0	1 шт	26.99	https://photos.okolo.app/product/1201215-main/320x320.jpeg
Семечки От Атамана отборные солёные, 250г	79.99	14	1 шт	93.49	https://photos.okolo.app/product/1200069-main/320x320.jpeg
Смесь Mix Bar из сушёных фруктов и орехов, 150г	169.99	15	1 шт	199.99	https://photos.okolo.app/product/1199169-main/320x320.jpeg
Смесь Mixbar из жареных орехов с цукатами, 130г	187.99	0.0	1 шт	187.99	https://photos.okolo.app/product/1199168-main/320x320.jpeg
Изюм Mixbar Nature сушёный, 150г	74.99	17	1 шт	89.99	https://photos.okolo.app/product/1198980-main/320x320.jpeg
Миндаль Mixbar сладкий жареный, 100г	139.99	28	1 шт	194.99	https://photos.okolo.app/product/1198779-main/320x320.jpeg
Абрикос Mixbar сушёный, 150г	229.99	0.0	1 шт	229.99	https://photos.okolo.app/product/1198774-main/320x320.jpeg
Фундук Mixbar жареные ядра, 100г	179.99	0.0	1 шт	179.99	https://photos.okolo.app/product/1198771-main/320x320.jpeg
Грецкий орех Mix Bar, 100г	169.99	0.0	1 шт	169.99	https://photos.okolo.app/product/1198743-main/320x320.jpeg
Кешью Mixbar жареный, 150г	299.99	0.0	1 шт	299.99	https://photos.okolo.app/product/1198742-main/320x320.jpeg
Фисташки Mixbar жареные солёные, 100г	189.99	0.0	1 шт	189.99	https://photos.okolo.app/product/1198332-main/320x320.jpeg
Картофель	20.99	0.0	1 кг	20.99	https://photos.okolo.app/product/1196371-main/320x320.jpeg
Фисташки неочищенные обжаренные подсоленные	1299.00	0.0	1 кг	1299.00	https://photos.okolo.app/product/1194909-main/320x320.jpeg
Бананы Вьетконг сушёные 100г	79.99	0.0	1 шт	79.99	https://photos.okolo.app/product/1193471-main/320x320.jpeg
Орех грецкий очищенный	799.99	20	1 кг	999.99	https://photos.okolo.app/product/1193464-main/320x320.jpeg
Яблоки Антоновка	99.99	0.0	1 кг	99.99	https://photos.okolo.app/product/1192092-main/320x320.jpeg
Семена Красная Цена подсолнечные жареные 100г	11.49	0.0	1 шт	11.49	https://photos.okolo.app/product/1191730-main/320x320.jpeg
Огурцы корнишоны Черри Global Village солёные, 500г	79.99	33	1 шт	119.99	https://photos.okolo.app/product/1191607-main/320x320.jpeg
Томаты Global Village черри соленые красные 500г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1191606-main/320x320.jpeg
Томаты Медовые черри красные круглые, 200г	149.99	0.0	1 шт	149.99	https://photos.okolo.app/product/1189891-main/320x320.jpeg
Семечки От Мартина отборные, 200г	99.99	23	1 шт	129.99	https://photos.okolo.app/product/1188755-main/320x320.jpeg
Лук Ялтинский репчатый красный 450 г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1187830-main/320x320.jpeg
Капуста ФЭГ маринованная с болгарским перцем 500г	104.99	0.0	1 шт	104.99	https://photos.okolo.app/product/1187465-main/320x320.jpeg
Салат Руккола 75г	89.99	0.0	1 шт	89.99	https://photos.okolo.app/product/1186987-main/320x320.jpeg
Малина протертая с сахаром 200г	119.99	0.0	1 шт	119.99	https://photos.okolo.app/product/1186887-main/320x320.jpeg
Клюква Сварог протертая с сахаром 200г	119.99	0.0	1 шт	119.99	https://photos.okolo.app/product/1186886-main/320x320.jpeg
Грибы Шампиньоны Global Village, 400г	114.99	0.0	1 шт	114.99	https://photos.okolo.app/product/1186740-main/320x320.jpeg
Шампиньоны Global Village свежие 300г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1186147-main/320x320.jpeg
Томат сливовидный Global Village, 600г	109.99	13	1 шт	126.49	https://photos.okolo.app/product/1185725-main/320x320.jpeg
Авокадо	329.99	11	1 кг	370.99	https://photos.okolo.app/product/1185186-main/320x320.jpeg
Виноград Киш-миш черный	92.49	0.0	1 кг	92.49	https://photos.okolo.app/product/1185080-main/320x320.jpeg
Огурцы Global Village солёные, 400г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1183186-main/320x320.jpeg
Огурцы соленые Красная цена 1 кг	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1183059-main/320x320.jpeg
Капуста квашеная Красная цена по-деревенски 500г	104.99	0.0	1 шт	104.99	https://photos.okolo.app/product/1183058-main/320x320.jpeg
Хренодёр Global Village классический упаковка в ассортименте 200г	49.99	29	1 шт	69.99	https://photos.okolo.app/product/1183056-main/320x320.jpeg
Томаты Global Village солёные красные 1кг	79.99	0.0	1 шт	79.99	https://photos.okolo.app/product/1183055-main/320x320.jpeg
Капуста квашеная Global Village с морковью, 700г	89.99	31	1 шт	129.99	https://photos.okolo.app/product/1183046-main/320x320.jpeg
Капуста Global Village квашенная с клюквой 500г	94.99	0.0	1 шт	94.99	https://photos.okolo.app/product/1183045-main/320x320.jpeg
Капуста Global Village квашеная крупная По-деревенски 900 г	159.99	0.0	1 шт	159.99	https://photos.okolo.app/product/1183044-main/320x320.jpeg
Имбирь Global Village маринованный 250г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1183043-main/320x320.jpeg
Манго	199.99	13	1 кг	229.99	https://photos.okolo.app/product/1181926-main/320x320.jpeg
Свекла Global Village варёная очищенная тёртая, 400г	55.99	0.0	1 шт	55.99	https://photos.okolo.app/product/1180782-main/320x320.jpeg
Огурцы Global Village корнишоны премиум, 300г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1178310-main/320x320.jpeg
Семечки Бабкины Семечки 100г	54.99	0.0	1 шт	54.99	https://photos.okolo.app/product/1177412-main/320x320.jpeg
Инжир Mixbar сушеный, 150г	139.99	0.0	1 шт	139.99	https://photos.okolo.app/product/1175061-main/320x320.jpeg
Лимон фасованный 3шт	89.99	0.0	1 шт	89.99	https://photos.okolo.app/product/1174654-main/320x320.jpeg
Семечки От Мартина чёрные отборные жареные с морской солью, 100г	48.19	0.0	1 шт	48.19	https://photos.okolo.app/product/1174531-main/320x320.jpeg
Орех Красная цена грецкий 100 г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1173625-main/320x320.jpeg
Абрикос Красная Цена сушёный, 100г	79.99	0.0	1 шт	79.99	https://photos.okolo.app/product/1173624-main/320x320.jpeg
Сухофрукты и Орехи Красная Цена 100г	61.99	0.0	1 шт	61.99	https://photos.okolo.app/product/1173622-main/320x320.jpeg
Чернослив Красная Цена 100 г	79.99	0.0	1 шт	79.99	https://photos.okolo.app/product/1173620-main/320x320.jpeg
Кешью Красная Цена жареный 100г	166.99	0.0	1 шт	166.99	https://photos.okolo.app/product/1173617-main/320x320.jpeg
Изюм Красная цена 100г	23.99	0.0	1 шт	23.99	https://photos.okolo.app/product/1173614-main/320x320.jpeg
Арахис Mixbar жареный солёный, 150г	69.99	0.0	1 шт	69.99	https://photos.okolo.app/product/1173391-main/320x320.jpeg
Аджика Фабрика Домашних Солений Жгучая, 400г	98.49	0.0	1 шт	98.49	https://photos.okolo.app/product/1172533-main/320x320.jpeg
Чеснок Фабрика Домашних Солений дольки маринованный, 300г	149.99	0.0	1 шт	149.99	https://photos.okolo.app/product/1172532-main/320x320.jpeg
Финики Mixbar, 200г	84.99	0.0	1 шт	84.99	https://photos.okolo.app/product/1172145-main/320x320.jpeg
Томаты розовые 700г	112.99	0.0	1 шт	112.99	https://photos.okolo.app/product/1170578-main/320x320.jpeg
Семечки От Мартина отборные жареные, 200г	99.99	21	1 шт	125.99	https://photos.okolo.app/product/1168953-main/320x320.jpeg
