Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Батарейки Liberhaus AAA, 4шт;149.99;0.0;1 шт;149.99;https://photos.okolo.app/product/1200421-main/320x320.jpeg
Элемент питания Liberhaus первичный тип AA, 4шт;149.99;0.0;1 шт;149.99;https://photos.okolo.app/product/1200420-main/320x320.jpeg
Диски-ловушки Insectum с гелем от тараканов и муравьев 6шт;87.19;0.0;1 шт;87.19;https://photos.okolo.app/product/1200275-main/320x320.jpeg
Губки для мытья посуды Liberhaus металлические, 2шт;39.99;0.0;1 шт;39.99;https://photos.okolo.app/product/1199776-main/320x320.jpeg
Спички Красная Цена хозяйственные 500шт;39.99;0.0;1 шт;39.99;https://photos.okolo.app/product/1199622-main/320x320.jpeg
Стельки Мягкий След из джута с термозащитным слоем р.36-46 МС1.6.;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1198788-main/320x320.jpeg
Активная пена Salton Expert White Express для очищения белой обуви подошв и рантов 200мл;199.99;0.0;1 шт;199.99;https://photos.okolo.app/product/1198773-main/320x320.jpeg
Стиральный порошок Meine Liebe для детского белья 1кг;425.99;25;1 шт;565.99;https://photos.okolo.app/product/1372300-main/320x320.jpeg
Упаковочная бумага Арт Дизайн 100х70см;80.49;0.0;1 шт;80.49;https://photos.okolo.app/product/1197723-main/320x320.jpeg
Мешки для мусора Liberhaus сверхпрочные 160л 10шт;159.99;0.0;1 шт;159.99;https://photos.okolo.app/product/1197478-main/320x320.jpeg
Мешки для мусора Liberhaus 240л, 10шт;269.99;0.0;1 шт;269.99;https://photos.okolo.app/product/1197477-main/320x320.jpeg
Порошок стиральный Losk Color Total 2.7кг;458.99;0.0;1 шт;458.99;https://photos.okolo.app/product/1197290-main/320x320.jpeg
Гель для стирки Ласка Эффект восстановления чёрного, 1л;279.99;32;1 шт;413.99;https://photos.okolo.app/product/1197199-main/320x320.jpeg
Пятновыводитель Vanish Oxi Action 500г;349.99;22;1 шт;445.99;https://photos.okolo.app/product/1216971-main/320x320.jpeg
Пакеты для мусора Liberhaus сверхпрочные с завязками 10шт, 60л;84.99;0.0;1 шт;84.99;https://photos.okolo.app/product/1197031-main/320x320.jpeg
Мешки для мусора Liberhaus с завязками 15шт, 35л;79.99;0.0;1 шт;79.99;https://photos.okolo.app/product/1197027-main/320x320.jpeg
Средство чистящее Domestos свежесть Атлантики универсальное, 750мл;139.99;33;1 шт;209.99;https://photos.okolo.app/product/1196620-main/320x320.jpeg
Пакет Пятерочка изотермический 15л;109.99;0.0;1 шт;109.99;https://photos.okolo.app/product/1196613-main/320x320.jpeg
Контейнер Полимербыт Важные мелочи для хранения с вкладышем 31x20x18cм;399.99;0.0;1 шт;399.99;https://photos.okolo.app/product/1196244-main/320x320.jpeg
