Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Корм для собак Мясное Ассорти с говядиной в желе 850г	110.29	0.0	1 шт	110.29	https://photos.okolo.app/product/1403882-main/320x320.jpeg
Сухой корм для взрослых собак Dingo 2.5кг	369.99	0.0	1 шт	369.99	https://photos.okolo.app/product/1386765-main/320x320.jpeg
Сухой корм Katty для взрослых кошек 800г	149.99	0.0	1 шт	149.99	https://photos.okolo.app/product/1218803-main/320x320.jpeg
Корм влажный Perfect Fit курица в соусе для стерилизованных котов и кошек 75г	24.99	0.0	1 шт	24.99	https://photos.okolo.app/product/1394174-main/320x320.jpeg
Влажный корм Perfect Fit Паштет с индейкой для стерилизованных котов  и кошек 75г	24.99	0.0	1 шт	24.99	https://photos.okolo.app/product/1403282-main/320x320.jpeg
Корм влажный Perfect Fit индейка в соусе для кошек с чувствительным пищеварением 75г	24.99	0.0	1 шт	24.99	https://photos.okolo.app/product/1394231-main/320x320.jpeg
Влажный корм Perfect Fit Кролик в соусе для стерилизованных котов  и кошек 75г	24.99	0.0	1 шт	24.99	https://photos.okolo.app/product/1403281-main/320x320.jpeg
Влажный корм Perfect Fit Говядина в соусе для стерилизованных кошек 75г	24.99	0.0	1 шт	24.99	https://photos.okolo.app/product/1394230-main/320x320.jpeg
Влажный корм Whiskas рагу телятина для кошек 75г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1213075-main/320x320.jpeg
Влажный корм Whiskas паштет курица и индейка для кошек 75г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1213074-main/320x320.jpeg
Влажный корм Whiskas желе с курицей для кошек 75г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1213073-main/320x320.jpeg
Влажный корм Whiskas рагу индейка и кролик для кошек 75г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1213072-main/320x320.jpeg
Влажный корм для котят Whiskas рагу с курицей для кошек 75г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1213071-main/320x320.jpeg
Влажный корм Whiskas паштет говядина и печень для кошек 75г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1213068-main/320x320.jpeg
Влажный корм Whiskas паштет индейка и кролик для кошек 75г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1213067-main/320x320.jpeg
Влажный корм Whiskas рагу треска и лосось для кошек 75г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1213065-main/320x320.jpeg
Влажный корм Whiskas паштет с уткой для кошек 75г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1213064-main/320x320.jpeg
Влажный корм Whiskas желе говядина и ягненок для кошек 75г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1213063-main/320x320.jpeg
Влажный корм Whiskas рагу с курицей для кошек 75г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1213062-main/320x320.jpeg
Влажный корм Whiskas желе курица и индейка для кошек 75г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1213059-main/320x320.jpeg
Когтеточка Gamma с пропиткой 48х90см 1шт.	259.99	0.0	1 шт	259.99	https://photos.okolo.app/product/1211459-main/320x320.jpeg
Ошейник Triol для кошек и собак мелких пород в ассортименте 1шт.	149.99	0.0	1 шт	149.99	https://photos.okolo.app/product/1211456-main/320x320.jpeg
Корм влажный Kitekat с кроликом в соусе для кошек 85г	15.49	0.0	1 шт	15.49	https://photos.okolo.app/product/1211419-main/320x320.jpeg
Корм сухой Whiskas Вкусные подушечки с паштетом Аппетитный обед с говядиной для кошек, 1.9кг	659.99	0.0	1 шт	659.99	https://photos.okolo.app/product/1211011-main/320x320.jpeg
Корм сухой Whiskas Вкусные подушечки с нежным паштетом Аппетитный обед с говядиной для кошек, 350г	109.99	15	1 шт	129.99	https://photos.okolo.app/product/1211010-main/320x320.jpeg
5 КОТОВ Наполнитель для кошачьего туалета 3,4кг	187.99	0.0	1 шт	187.99	https://photos.okolo.app/product/1210898-main/320x320.jpeg
Ошейник Gamma антипаразитный для собак в ассортименте 1шт.	69.99	0.0	1 шт	69.99	https://photos.okolo.app/product/1210735-main/320x320.jpeg
Корм сухой Dingo с говядиной для взрослых собак, 600г	94.99	0.0	1 шт	94.99	https://photos.okolo.app/product/1207679-main/320x320.jpeg
Корм Pedigree с говядиной в соусе для взрослых собак всех пород, 85г	20.99	0.0	1 шт	20.99	https://photos.okolo.app/product/1206354-main/320x320.jpeg
Корм влажный Chappi Сытный мясной обед говядина по-домашнему для собак 85г	15.99	0.0	1 шт	15.99	https://photos.okolo.app/product/1206353-main/320x320.jpeg
Корм для собак Cesar Ягненок в овощном соусе 85г	26.99	28	1 шт	37.49	https://photos.okolo.app/product/1206352-main/320x320.jpeg
Корм Cesar говядина с овощами в соусе для собак, 85г	26.99	28	1 шт	37.49	https://photos.okolo.app/product/1206351-main/320x320.jpeg
Корм влажный Purina One Мини с курицей морковью и зеленой фасолью для взрослых собак 85г	29.99	0.0	1 шт	29.99	https://photos.okolo.app/product/1449993-main/320x320.jpeg
Влажный корм Purina One Контроль веса с курицей, коричневым рисом и томатами для собак 85г	29.99	0.0	1 шт	29.99	https://photos.okolo.app/product/1369614-main/320x320.jpeg
Корм для кошек красная цена с курицей в соусе 85 г	9.99	0.0	1 шт	9.99	https://photos.okolo.app/product/1200820-main/320x320.jpeg
Корм для кошек красная цена с говядиной в соусе 85 г	7.49	25	1 шт	9.99	https://photos.okolo.app/product/1200819-main/320x320.jpeg
Корм Purina One с курицей и морковью для кошек с чувствительным пищеварением 75г	26.99	0.0	1 шт	26.99	https://photos.okolo.app/product/1370734-main/320x320.jpeg
Корм Purina One с курицей и морковью для котят 75г	26.99	0.0	1 шт	26.99	https://photos.okolo.app/product/1370732-main/320x320.jpeg
Влажный корм для кошек Purina ONE с говядиной и морковью 75г	26.99	0.0	1 шт	26.99	https://photos.okolo.app/product/1199890-main/320x320.jpeg
Влажный корм для кошек Purina One с курицей и зеленой фасолью 75г	26.99	0.0	1 шт	26.99	https://photos.okolo.app/product/1199889-main/320x320.jpeg
Влажный корм для кошек Purina One с курицей и морковью 75г	26.99	0.0	1 шт	26.99	https://photos.okolo.app/product/1199888-main/320x320.jpeg
Корм для кошек Katty с говядиной в соусе 415г	62.99	13	1 шт	72.44	https://photos.okolo.app/product/1198821-main/320x320.jpeg
Корм влажный Felix Суп с треской для кошек 48г	19.49	0.0	1 шт	19.49	https://photos.okolo.app/product/1449990-main/320x320.jpeg
Влажный корм для кошек Felix с курицей 48г	19.49	0.0	1 шт	19.49	https://photos.okolo.app/product/1194772-main/320x320.jpeg
Влажный корм для кошек Felix с говядиной 48г	19.49	0.0	1 шт	19.49	https://photos.okolo.app/product/1194771-main/320x320.jpeg
Корм Katty с кроликом для кошек, 85г	14.99	0.0	1 шт	14.99	https://photos.okolo.app/product/1192340-main/320x320.jpeg
Корм Katty с говядиной влажный для кошек, 85г	14.99	0.0	1 шт	14.99	https://photos.okolo.app/product/1192335-main/320x320.jpeg
Корм Katty с курицей влажный для кошек, 85г	14.99	0.0	1 шт	14.99	https://photos.okolo.app/product/1192334-main/320x320.jpeg
Сухой корм Purina ONE для кошек с курицей и цельными злаками, 750г	309.99	16	1 шт	369.99	https://photos.okolo.app/product/1192182-main/320x320.jpeg
Лакомство Dreamies с уткой для кошек, 60г	54.19	25	1 шт	72.19	https://photos.okolo.app/product/1186320-main/320x320.jpeg
Корм сухой Perfect Fit Sensitive с индейкой для кошек с чувствительным пищеварением, 650г	339.99	0.0	1 шт	339.99	https://photos.okolo.app/product/1181300-main/320x320.jpeg
Корм Katty с кроликом и индейкой в соусе для кошек, 85г	14.99	0.0	1 шт	14.99	https://photos.okolo.app/product/1180406-main/320x320.jpeg
Корм Katty с телятиной и индейкой в соусе для кошек, 85г	14.99	0.0	1 шт	14.99	https://photos.okolo.app/product/1180405-main/320x320.jpeg
Корм Katty с лососем и форелью в соусе для кошек 85г	14.99	0.0	1 шт	14.99	https://photos.okolo.app/product/1180400-main/320x320.jpeg
Корм Katty с говядиной и ягненком в соусе для кошек, 85г	14.99	0.0	1 шт	14.99	https://photos.okolo.app/product/1180373-main/320x320.jpeg
Впитывающие одноразовые пелёнки для животных 60x40см, 10шт	159.99	0.0	1 шт	159.99	https://photos.okolo.app/product/1177924-main/320x320.jpeg
Влажный корм для кошек Felix с лососем и форелью 85г	19.49	3	1 шт	19.99	https://photos.okolo.app/product/1177910-main/320x320.jpeg
Влажный корм для кошек Felix с индейкой и печенью 85г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1177909-main/320x320.jpeg
Корм сухой Whiskas Вкусные подушечки с паштетом Ассорти с курицей и индейкой для кошек, 800г	202.49	25	1 шт	269.99	https://photos.okolo.app/product/1176625-main/320x320.jpeg
Корм сухой Whiskas Вкусные подушечки с паштетом Ассорти с курицей и индейкой для кошек, 350г	109.99	15	1 шт	129.99	https://photos.okolo.app/product/1176624-main/320x320.jpeg
Корм влажный Kitekat с говядиной в желе для взрослых кошек 85г	15.49	0.0	1 шт	15.49	https://photos.okolo.app/product/1176622-main/320x320.jpeg
Корм влажный Kitekat с курицей в соусе для взрослых кошек 85г	15.49	0.0	1 шт	15.49	https://photos.okolo.app/product/1176620-main/320x320.jpeg
Корм влажный Kitekat с говядиной в соусе для взрослых кошек 85г	15.49	0.0	1 шт	15.49	https://photos.okolo.app/product/1176618-main/320x320.jpeg
Корм сухой Whiskas с говядиной и вкусными подушечками для стерилизованных кошек, 350г	109.99	15	1 шт	129.99	https://photos.okolo.app/product/1175195-main/320x320.jpeg
Корм сухой Kitekat Мясной пир для кошек, 800г	197.99	0.0	1 шт	197.99	https://photos.okolo.app/product/1174900-main/320x320.jpeg
Корм сухой Kitekat Мясной пир для кошек, 1.9кг	472.99	0.0	1 шт	472.99	https://photos.okolo.app/product/1174899-main/320x320.jpeg
Корм сухой Kitekat Курочка аппетитная для кошек, 350г	105.99	0.0	1 шт	105.99	https://photos.okolo.app/product/1174896-main/320x320.jpeg
Корм сухой Purina One с говядиной и пшеницей для стерилизованных кошек, 750г	309.99	16	1 шт	369.99	https://photos.okolo.app/product/1174392-main/320x320.jpeg
Сухой корм для кошек Purina One с высоким содержанием говядины с цельными злаками 750г	309.99	16	1 шт	369.99	https://photos.okolo.app/product/1174391-main/320x320.jpeg
Сухой корм для кошек Purina ONE с высоким содержанием индейки и цельными злаками 1.5кг	659.99	0.0	1 шт	659.99	https://photos.okolo.app/product/1173671-main/320x320.jpeg
Наполнитель для кошачего туалета Katty древесный, 2.8кг	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1173545-main/320x320.jpeg
Влажный корм для кошек Felix с индейкой в соусе с беконом 85г	19.49	3	1 шт	19.99	https://photos.okolo.app/product/1172775-main/320x320.jpeg
Сухой корм для собак Purina One для активных собак c курицей и рисом 1.5кг	492.99	0.0	1 шт	492.99	https://photos.okolo.app/product/1172773-main/320x320.jpeg
Корм сухой Pedigree с говядиной для собак мелких пород меньше 15кг, 2.2кг	648.99	0.0	1 шт	648.99	https://photos.okolo.app/product/1170169-main/320x320.jpeg
Лакомство Biff Dent жевательный снек со вкусом говядины для чистки зубов для собак, 35г	39.99	26	1 шт	53.99	https://photos.okolo.app/product/1169423-main/320x320.jpeg
Корм для кошек Purina One с высоким содержанием лосося и пшеницей 750г	309.99	16	1 шт	369.99	https://photos.okolo.app/product/1168774-main/320x320.jpeg
Корм сухой Purina One с индейкой и рисом для кошек с чувствительным пищеварением, 750г	309.99	16	1 шт	369.99	https://photos.okolo.app/product/1168771-main/320x320.jpeg
Влажный корм для кошек Felix с форелью 85г	19.49	3	1 шт	19.99	https://photos.okolo.app/product/1168626-main/320x320.jpeg
Лакомство Dreamies с курицей для кошек 60г	78.49	0.0	1 шт	78.49	https://photos.okolo.app/product/1167981-main/320x320.jpeg
Влажный корм для кошек Felix с кроликом 85г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1166634-main/320x320.jpeg
Влажный корм для кошек Felix с говядиной 85г	19.49	3	1 шт	19.99	https://photos.okolo.app/product/1166633-main/320x320.jpeg
Корм Katty с курицей в соусе для кошек 415г	62.99	13	1 шт	72.44	https://photos.okolo.app/product/1166208-main/320x320.jpeg
Корм Katty с кроликом в соусе для кошек, 415г	62.99	13	1 шт	72.44	https://photos.okolo.app/product/1166207-main/320x320.jpeg
Корм Katty с кусочками говядины в соусе для кошек, 415г	62.99	13	1 шт	72.44	https://photos.okolo.app/product/1166206-main/320x320.jpeg
Корм Felix Аппетитные кусочки с лососем в желе для кошек, 85г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1165975-main/320x320.jpeg
Влажный корм для кошек Felix с курицей 85г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1165870-main/320x320.jpeg
Корм Chappi Сытный мясной обед с говядиной по-домашнему для собак, 600г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1163714-main/320x320.jpeg
