Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Сельдь Матиас деликатесное оригинальное филе, 400г;239.99;0.0;1 шт;239.99;https://photos.okolo.app/product/1184002-main/320x320.jpeg
Креветки Fish House средние 500г;479.99;0.0;1 шт;479.99;https://photos.okolo.app/product/1183633-main/320x320.jpeg
Сельдь Рыбная Кухня филе-кусочки в масле, 190г;79.99;33;1 шт;119.99;https://photos.okolo.app/product/1183427-main/320x320.jpeg
Набор пивной Тарань-ка солёно-сушёный, 150г;87.99;0.0;1 шт;87.99;https://photos.okolo.app/product/1182726-main/320x320.jpeg
Кета Fish House филе-ломтики, 100г;159.99;0.0;1 шт;159.99;https://photos.okolo.app/product/1182630-main/320x320.jpeg
Горбуша Fish House ломтики соленые 100г;149.99;0.0;1 шт;149.99;https://photos.okolo.app/product/1182629-main/320x320.jpeg
Сёмга Fish House атлантическая филе-ломтик слабосолёная, 100г;229.99;0.0;1 шт;229.99;https://photos.okolo.app/product/1182524-main/320x320.jpeg
Форель Fish House радужная слабосолёная ломтики, 100г;229.99;0.0;1 шт;229.99;https://photos.okolo.app/product/1182523-main/320x320.jpeg
Минтай Fish House филе без кожи замороженное, 600г;219.99;0.0;1 шт;219.99;https://photos.okolo.app/product/1182316-main/320x320.jpeg
Треска тихоокеанская Fish House филе без кожи замороженная, 600г;279.99;22;1 шт;359.99;https://photos.okolo.app/product/1181812-main/320x320.jpeg
Котлеты Четверг рыбные из трески замороженные, 300г;167.99;0.0;1 шт;167.99;https://photos.okolo.app/product/1180286-main/320x320.jpeg
Креветки Красная Цена мелкие неочищенные 400г;199.99;30;1 шт;285.99;https://photos.okolo.app/product/1178483-main/320x320.jpeg
Сельдь Тесей царская филе-кусочки в укропном соусе, 400г;119.99;38;1 шт;194.99;https://photos.okolo.app/product/1177927-main/320x320.jpeg
Форель Красная цена слабосоленая 150 г;236.99;0.0;1 шт;236.99;https://photos.okolo.app/product/1177662-main/320x320.jpeg
Филе рыбное Vici Дальневосточное в панировке, 300г;259.98;0.0;1 шт;259.98;https://photos.okolo.app/product/1176338-main/320x320.jpeg
Креветки Fish House в рассоле, 300г;229.99;23;1 шт;299.99;https://photos.okolo.app/product/1174798-main/320x320.jpeg
Мидии Fish House в рассоле 300г;129.99;32;1 шт;189.99;https://photos.okolo.app/product/1174796-main/320x320.jpeg
Коктейль из морепродуктов Fish House в рассоле, 300г;214.99;0.0;1 шт;214.99;https://photos.okolo.app/product/1174795-main/320x320.jpeg
Коктейль из морепродуктов 3 Fish в масле, 150г;114.99;0.0;1 шт;114.99;https://photos.okolo.app/product/1174228-main/320x320.jpeg
Икра лососевая зернистая горбуши соленая 95г;419.99;0.0;1 шт;419.99;https://photos.okolo.app/product/1174138-main/320x320.jpeg
Паста Санта Бремор Антарктик криль сливочно-чесночный из морепродуктов, 150г;69.99;48;1 шт;133.99;https://photos.okolo.app/product/1173988-main/320x320.jpeg
Скумбрия Балтийский Берег кусочки холодного копчения, 300г;239.99;0.0;1 шт;239.99;https://photos.okolo.app/product/1173538-main/320x320.jpeg
Сельдь Красная Цена филе кусочки в масле 180г;84.49;0.0;1 шт;84.49;https://photos.okolo.app/product/1173328-main/320x320.jpeg
Крабовые палочки Vici охлажденные 220г;149.99;0.0;1 шт;149.99;https://photos.okolo.app/product/1173000-main/320x320.jpeg
Крабовое мясо Vici имитация 220г;159.99;0.0;1 шт;159.99;https://photos.okolo.app/product/1172999-main/320x320.jpeg
Крабовое мясо Русское море имитация охлаждённое, 200г;122.99;0.0;1 шт;122.99;https://photos.okolo.app/product/1172733-main/320x320.jpeg
Скумбрия Fish House х/к 300г;129.99;28;1 шт;179.99;https://photos.okolo.app/product/1172639-main/320x320.jpeg
Салака Балтийский Берег холодного копчения, 300г;104.99;34;1 шт;159.99;https://photos.okolo.app/product/1170351-main/320x320.jpeg
Камбала От Рыбаков сушеная 100г;154.99;0.0;1 шт;154.99;https://photos.okolo.app/product/1170301-main/320x320.jpeg
Горбуша Рыбная Миля кусочки холодного копчения косичка, 200г;229.99;0.0;1 шт;229.99;https://photos.okolo.app/product/1169471-main/320x320.jpeg
Сельдь Kingfish царская с пикантными специями, 380г;119.99;35;1 шт;183.99;https://photos.okolo.app/product/1169257-main/320x320.jpeg
Треска Polar треугольники в панировке, 300г;137.99;0.0;1 шт;137.99;https://photos.okolo.app/product/1167618-main/320x320.jpeg
Минтай Fish House вяленый соломка c перцем, 70г;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1167090-main/320x320.jpeg
Вобла Fish House вяленая, 300г;224.99;0.0;1 шт;224.99;https://photos.okolo.app/product/1167029-main/320x320.jpeg
Рыбка Fish House Янтарная с перцем, 70г;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1167028-main/320x320.jpeg
FISH HOUSE Кальмар сушеный кольца, 70г;79.99;27;1 шт;109.99;https://photos.okolo.app/product/1167010-main/320x320.jpeg
Кальмар сушеный Fish House стружка 70г;79.99;27;1 шт;109.99;https://photos.okolo.app/product/1167009-main/320x320.jpeg
Филе сельди Fish House с приправами в масле, 250 г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1166888-main/320x320.jpeg
