Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Картофель Global Village по-деревенски замороженный 400г;109.99;0.0;1 шт;109.99;https://photos.okolo.app/product/1196049-main/320x320.jpeg
Дамплинги Bibigo королевские замороженные, 385г;404.99;0.0;1 шт;404.99;https://photos.okolo.app/product/1194920-main/320x320.jpeg
Эскимо Магнат Шоколадный трюфель сливочное с наполнителем-бисквитами в шоколаде 8%, 72г;83.99;24;1 шт;109.99;https://photos.okolo.app/product/1194471-main/320x320.jpeg
Смесь Global Village Овощная Гавайская 400г;116.99;0.0;1 шт;116.99;https://photos.okolo.app/product/1193342-main/320x320.jpeg
Эскимо Свитлогорье пломбир ванильное в глазури 15%, 80г;79.99;0.0;1 шт;79.99;https://photos.okolo.app/product/1193133-main/320x320.jpeg
Картофель Красная цена замороженный для жарки 700 г;143.99;0.0;1 шт;143.99;https://photos.okolo.app/product/1193130-main/320x320.jpeg
Шампиньоны Красная Цена резаные быстрозамороженные 700г;159.99;0.0;1 шт;159.99;https://photos.okolo.app/product/1192976-main/320x320.jpeg
Пломбир Петрохолод ванильный с шоколадной крошкой 15% 400г;299.99;0.0;1 шт;299.99;https://photos.okolo.app/product/1192967-main/320x320.jpeg
Пицца Рестория ассорти, 350г;199.99;0.0;1 шт;199.99;https://photos.okolo.app/product/1192502-main/320x320.jpeg
Пельмени Сибирская Коллекция классические категория В, 700г;299.99;48;1 шт;574.89;https://photos.okolo.app/product/1192475-main/320x320.jpeg
Мороженое пломбир Чистая Линия ванильное 12%, 200г;149.99;0.0;1 шт;149.99;https://photos.okolo.app/product/1192448-main/320x320.jpeg
Чебурек Жаренки Богатырь с мясом, 180г;87.99;0.0;1 шт;87.99;https://photos.okolo.app/product/1190398-main/320x320.jpeg
Пломбир Чистая Линия Радуга ванильный стаканчик 12%, 90г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1190336-main/320x320.jpeg
