Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Йогурт Чудо фруктовый черника-малина 1.9% 260г	57.99	0.0	1 шт	57.99	https://photos.okolo.app/product/1471210-main/320x320.jpeg
Продукт Cheese House молокосодержащий Юбилейный 50%	359.99	0.0	1 кг	359.99	https://photos.okolo.app/product/1459274-main/320x320.jpeg
Сыр 1М Молочный Маринованный перчик-зерна горчицы творожный 65% 120г	113.99	0.0	1 шт	113.99	https://photos.okolo.app/product/1456104-main/320x320.jpeg
Сыр Брест-Литовск Монастырский 45% 200г	149.99	0.0	1 шт	149.99	https://photos.okolo.app/product/1465610-main/320x320.jpeg
Ряженка Большая кружка 4% 800г	108.99	0.0	1 шт	108.99	https://photos.okolo.app/product/1452558-main/320x320.jpeg
Напиток соевый Nemoloko с бананом 1л	89.99	25	1 шт	119.99	https://photos.okolo.app/product/1457775-main/320x320.jpeg
Сырок творожный А. Ростагрокомплекс в темном шоколаде с ванилью 26% 50г	57.99	0.0	1 шт	57.99	https://photos.okolo.app/product/1453115-main/320x320.jpeg
Сырок творожный А. Ростагрокомплекс Картошка в молочном шоколаде 20% 50г	57.99	0.0	1 шт	57.99	https://photos.okolo.app/product/1453114-main/320x320.jpeg
Сырок творожный А. Ростагрокомплекс в молочном шоколаде с вареной сгущенкой 26% 50г	57.99	0.0	1 шт	57.99	https://photos.okolo.app/product/1453112-main/320x320.jpeg
Сырок творожный А. Ростагрокомплекс в молочном шоколаде с ванилью 26% 50г	57.99	0.0	1 шт	57.99	https://photos.okolo.app/product/1453111-main/320x320.jpeg
Моцарелла Trattoria di Maestro Turatti 45% 180г	109.99	0.0	1 шт	109.99	https://photos.okolo.app/product/1450649-main/320x320.jpeg
Молоко Большая Кружка Сливочное 9.5% 500г	89.99	34	1 шт	136.99	https://photos.okolo.app/product/1459624-main/320x320.jpeg
Напиток Actimel Kids клубника и банан 1.5% 95г	37.99	0.0	1 шт	37.99	https://photos.okolo.app/product/1456410-main/320x320.jpeg
Напиток Actimel с гранатом обогащенный цинком 1.5% 95г	37.99	0.0	1 шт	37.99	https://photos.okolo.app/product/1456409-main/320x320.jpeg
Напиток Actimel с клубникой обогащенный цинком 1.5% 95г	37.99	0.0	1 шт	37.99	https://photos.okolo.app/product/1456408-main/320x320.jpeg
Напиток Actimel Ягодный микс обогащенный цинком 1.5% 95г	37.99	0.0	1 шт	37.99	https://photos.okolo.app/product/1456402-main/320x320.jpeg
Сыр Свежий Ряд Косичка копченый 40% 100г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1448949-main/320x320.jpeg
Сметана Сарафаново 10% 300г	67.99	0.0	1 шт	67.99	https://photos.okolo.app/product/1451532-main/320x320.jpeg
Сметана Сарафаново 15% 300г	71.99	0.0	1 шт	71.99	https://photos.okolo.app/product/1451531-main/320x320.jpeg
Сметана Сарафаново 20% 300г	94.99	0.0	1 шт	94.99	https://photos.okolo.app/product/1452683-main/320x320.jpeg
Биойогурт Верховье с бананом и грушей 2.9% 150г	44.99	0.0	1 шт	44.99	https://photos.okolo.app/product/1449907-main/320x320.jpeg
Йогурт Greek yogurt Греческий со инжиром 1.8% 130г	74.99	0.0	1 шт	74.99	https://photos.okolo.app/product/1452753-main/320x320.jpeg
Йогурт Greek yogurt Греческий с медом, грецкими орехами 4% 130г	74.99	0.0	1 шт	74.99	https://photos.okolo.app/product/1452752-main/320x320.jpeg
Сырок творожный Пора есть с ванилью в молочной глазури 5% 30г	22.99	0.0	1 шт	22.99	https://photos.okolo.app/product/1447453-main/320x320.jpeg
Молоко Славянские кружева ультрапастеризованное 2.5% 930мл	69.99	0.0	1 шт	69.99	https://photos.okolo.app/product/1447391-main/320x320.jpeg
Творог Славянские кружева рассыпчатый 5% 300г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1447390-main/320x320.jpeg
Сыр Жаворонки плавленный с ветчиной 45% 370г	194.99	0.0	1 шт	194.99	https://photos.okolo.app/product/1456980-main/320x320.jpeg
Сыр Жаворонки Дружба плавленый 370г	199.99	0.0	1 шт	199.99	https://photos.okolo.app/product/1456979-main/320x320.jpeg
Йогурт Телушка Банан 1% 300г	39.99	0.0	1 шт	39.99	https://photos.okolo.app/product/1446734-main/320x320.jpeg
Йогурт Телушка Персик 1% 300г	39.99	0.0	1 шт	39.99	https://photos.okolo.app/product/1446733-main/320x320.jpeg
Продукт плавленный Свежая марка Чизбургер с сыром 45% 130г	54.99	0.0	1 шт	54.99	https://photos.okolo.app/product/1458074-main/320x320.jpeg
Продукт творожный Danone Груша, банан 3.6% 130г	36.99	20	1 шт	46.49	https://photos.okolo.app/product/1443660-main/320x320.jpeg
Биойогурт Активиа малина 3% 110г	34.99	0.0	1 шт	34.99	https://photos.okolo.app/product/1443647-main/320x320.jpeg
Биойогурт Активиа Манго 3% 110г	34.99	0.0	1 шт	34.99	https://photos.okolo.app/product/1443646-main/320x320.jpeg
Ряженка Домик в деревне с клубникой 2.1% 270г	42.99	0.0	1 шт	42.99	https://photos.okolo.app/product/1445724-main/320x320.jpeg
Ряженка Домик в деревне 2.5% 270г	42.99	0.0	1 шт	42.99	https://photos.okolo.app/product/1445723-main/320x320.jpeg
Кефир Домик в деревне 2.5% 270г	42.99	0.0	1 шт	42.99	https://photos.okolo.app/product/1445722-main/320x320.jpeg
Снежок Домик в деревне сладкий 2.5% 270г	42.99	0.0	1 шт	42.99	https://photos.okolo.app/product/1445595-main/320x320.jpeg
Кефир Резной палисад 2.5% 930г	63.49	0.0	1 шт	63.49	https://photos.okolo.app/product/1438070-main/320x320.jpeg
Молоко Это хорошо! ультрапастеризованное 3.2% 950г	59.99	0.0	1 шт	59.99	https://photos.okolo.app/product/1451559-main/320x320.jpeg
Пармезан Trattoria di Maestro Turatti твердый 40%	949.99	0.0	1 кг	949.99	https://photos.okolo.app/product/1437927-main/320x320.jpeg
Творожный десерт Чудо Клубничное мороженое 5.1% 110г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1433865-main/320x320.jpeg
Творожный десерт Чудо Вишнёвое мороженое 5.1% 110г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1433864-main/320x320.jpeg
Творожный десерт Чудо Голубика-Ежевика 5.1% 110г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1433863-main/320x320.jpeg
Биойогурт Активиа Натуральный термостатный 3.5% 160г	49.49	0.0	1 шт	49.49	https://photos.okolo.app/product/1437757-main/320x320.jpeg
Биойогурт Активиа Натуральный 3.5% 130г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1437679-main/320x320.jpeg
Биойогурт Активиа Чернослив 2.9% 130г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1437745-main/320x320.jpeg
Биойогурт Активиа Вишня 2.9% 130г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1437740-main/320x320.jpeg
Продукт творожный Danone Ананас-банан 3.6% 110г	31.99	0.0	1 шт	31.99	https://photos.okolo.app/product/1437765-main/320x320.jpeg
Продукт творожный Danone Вишня-банан 3.6% 110г	31.99	0.0	1 шт	31.99	https://photos.okolo.app/product/1437764-main/320x320.jpeg
Продукт творожный Даниссимо пломбир 5.4% 110г	43.99	0.0	1 шт	43.99	https://photos.okolo.app/product/1437763-main/320x320.jpeg
Продукт творожный Даниссимо мороженое-крем брюле 5.5% 110г	39.99	0.0	1 шт	39.99	https://photos.okolo.app/product/1437762-main/320x320.jpeg
Творог Красная цена обезжиренный 180г	35.99	0.0	1 шт	35.99	https://photos.okolo.app/product/1437208-main/320x320.jpeg
Продукт Домашняя Буренка творогосодержащий СЗМЖ 5% 180г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1412423-main/320x320.jpeg
Биойогурт Верховье с клубникой, земляникой 2% 260г	63.99	0.0	1 шт	63.99	https://photos.okolo.app/product/1449377-main/320x320.jpeg
Желе Ягодный край Персиковое 150г	59.99	0.0	1 шт	59.99	https://photos.okolo.app/product/1395266-main/320x320.jpeg
Желе Ягодный край со вкусом вишни 150г	17.99	0.0	1 шт	17.99	https://photos.okolo.app/product/1213943-main/320x320.jpeg
Сметана Северная Долина 15% 400г	88.19	0.0	1 шт	88.19	https://photos.okolo.app/product/1441332-main/320x320.jpeg
Творог Простоквашино 5% 200г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1211929-main/320x320.jpeg
Творог Простоквашино 2% 200г	94.99	0.0	1 шт	94.99	https://photos.okolo.app/product/1211928-main/320x320.jpeg
Сметана Простоквашино 20% 300г	79.90	17	1 шт	95.99	https://photos.okolo.app/product/1211927-main/320x320.jpeg
Сметана Простоквашино 25% 300г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1211926-main/320x320.jpeg
Сметана Простоквашино 15% 300г	62.99	0.0	1 шт	62.99	https://photos.okolo.app/product/1211925-main/320x320.jpeg
Сыр Ларец с грецкими орехами 245г	329.99	0.0	1 шт	329.99	https://photos.okolo.app/product/1213345-main/320x320.jpeg
Желе Желейка Вишня, яблоко, персик с пузырьками 150г	29.99	0.0	1 шт	29.99	https://photos.okolo.app/product/1411955-main/320x320.jpeg
Масло сливочное Экомилк Традиционное 82.5% 180г	139.99	30	1 шт	199.99	https://photos.okolo.app/product/1211013-main/320x320.jpeg
Сырок глазированный Простоквашино с вареной сгущенкой 23% 40г	44.19	0.0	1 шт	44.19	https://photos.okolo.app/product/1210302-main/320x320.jpeg
Сырок глазированный Простоквашино ванильный 23% 40г	44.19	0.0	1 шт	44.19	https://photos.okolo.app/product/1210299-main/320x320.jpeg
Напиток Alpro Coconut кокосовый с рисом 750мл	207.99	0.0	1 шт	207.99	https://photos.okolo.app/product/1210199-main/320x320.jpeg
Напиток Alpro Almond  миндальный 0.9% 750мл	207.99	0.0	1 шт	207.99	https://photos.okolo.app/product/1210197-main/320x320.jpeg
Спред Voimix 60% 400г	149.99	0.0	1 шт	149.99	https://photos.okolo.app/product/1210071-main/320x320.jpeg
Творог Станция Молочная 9% 400г	149.99	0.0	1 шт	149.99	https://photos.okolo.app/product/1209872-main/320x320.jpeg
Йогурт Чудо Хрустящий шоколадный соблазн 3% 105г	56.99	0.0	1 шт	56.99	https://photos.okolo.app/product/1209507-main/320x320.jpeg
Йогурт Чудо Хрустящий вафельный восторг 2.4% 105г	59.99	0.0	1 шт	59.99	https://photos.okolo.app/product/1209503-main/320x320.jpeg
Напиток миндальный Nemoloko Barista обогащённый витаминами и минеральными веществами, 1л	99.99	21	1 шт	125.99	https://photos.okolo.app/product/1208875-main/320x320.jpeg
Майонез Restoria с перепелиными яйцами 67%, 400мл	79.99	16	1 шт	94.99	https://photos.okolo.app/product/1208843-main/320x320.jpeg
Майонез Рестория Оливковый 67%, 400мл	84.99	0.0	1 шт	84.99	https://photos.okolo.app/product/1208842-main/320x320.jpeg
