Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Напиток Fancy газированный 1.5л	79.99	13	1 шт	91.99	https://photos.okolo.app/product/1451280-main/320x320.jpeg
Напиток Street газированный 1.5л	79.99	13	1 шт	91.99	https://photos.okolo.app/product/1451336-main/320x320.jpeg
Энергетический напиток Burn Gold Rush 449мл	153.99	0.0	1 шт	153.99	https://photos.okolo.app/product/1451335-main/320x320.jpeg
Напиток CoolСola газированный 1.5л	79.99	13	1 шт	91.99	https://photos.okolo.app/product/1447770-main/320x320.jpeg
Напиток Fresh Bar Kiwi Mix 1.5л	89.99	0.0	1 шт	89.99	https://photos.okolo.app/product/1447204-main/320x320.jpeg
Напиток Fresh Bar Alfa Cola 1.5л	89.99	0.0	1 шт	89.99	https://photos.okolo.app/product/1447203-main/320x320.jpeg
Энергетический напиток Black Monster Pipeline punch 0.449л	124.99	0.0	1 шт	124.99	https://photos.okolo.app/product/1439237-main/320x320.jpeg
Напиток My Komboocha Зеленый чай нефильтрованный непастеризованный 330мл	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1439271-main/320x320.jpeg
Напиток 100 KWT RAW ENERGY энергетический 0.45л	59.99	0.0	1 шт	59.99	https://photos.okolo.app/product/1424128-main/320x320.jpeg
Напиток 100 KWT BERRY энергетический 0.45л	59.99	0.0	1 шт	59.99	https://photos.okolo.app/product/1424127-main/320x320.jpeg
Напиток Evervess вкус Индиан Тоник газированный 0.33л	59.99	0.0	1 шт	59.99	https://photos.okolo.app/product/1423114-main/320x320.jpeg
Напиток Fresh Бабл Гам с кусочками кокосового желе 0.32л	42.99	23	1 шт	55.99	https://photos.okolo.app/product/1409123-main/320x320.jpeg
Энергетический напиток E-ON Danger Berry 0.45л	79.99	0.0	1 шт	79.99	https://photos.okolo.app/product/1436240-main/320x320.jpeg
Энергетический напиток Tornado Energy Кокос 0.45л	54.99	0.0	1 шт	54.99	https://photos.okolo.app/product/1436239-main/320x320.jpeg
