Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Шоколад Коммунарка Milk Chocolate Coconut Nougat молочный с кокосовой нугой 80г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1449303-main/320x320.jpeg
Шоколад Коммунарка Milk Chocolate Strawberry Nougat молочный с клубничной нугой 80г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1449302-main/320x320.jpeg
Шоколад Коммунарка Milk Chocolate Apricot Nougat молочный с начинкой нуга с курагой 80г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1449301-main/320x320.jpeg
Шоколад Коммунарка Milk Chocolate Nutmix Nougat молочный с ореховой нугой 80г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1449300-main/320x320.jpeg
Конфеты Milky Silky Мягкая карамель с молочным вкусом	359.99	0.0	1 кг	359.99	https://photos.okolo.app/product/1453365-main/320x320.jpeg
Печенье Мастер-конд Княжий Дар 200г	229.99	0.0	1 шт	229.99	https://photos.okolo.app/product/1446391-main/320x320.jpeg
Батончик-мюсли Bombbar Клубника, 45г	59.99	0.0	1 шт	59.99	https://photos.okolo.app/product/1441605-main/320x320.jpeg
Конфеты Азовская КФ Микс 1 900г	199.99	29	1 шт	279.99	https://photos.okolo.app/product/1446622-main/320x320.jpeg
Конфеты Савинов Хит с арахисом и воздушным рисом карамельно-молочные 8х45г	186.99	0.0	1 шт	186.99	https://photos.okolo.app/product/1440960-main/320x320.jpeg
Мед натуральный цветочный фасованный 150г	39.99	0.0	1 шт	39.99	https://photos.okolo.app/product/1447090-main/320x320.jpeg
Конфеты Konti Мишаня с ирисом	595.99	0.0	1 кг	595.99	https://photos.okolo.app/product/1441178-main/320x320.jpeg
Мармелад Jouy&Co Зубы жевательный 150г	73.49	30	1 шт	104.99	https://photos.okolo.app/product/1461554-main/320x320.jpeg
Вафли мягкие Шарлиз с суфле и фруктовой начинкой Черника 144г	69.99	0.0	1 шт	69.99	https://photos.okolo.app/product/1452148-main/320x320.jpeg
Вафли мягкие Шарлиз с суфле и фруктовой начинкой Вишня 144г	69.99	0.0	1 шт	69.99	https://photos.okolo.app/product/1460637-main/320x320.jpeg
Вафли мягкие Шарлиз с суфле и начинкой Молочная Карамель 144г	69.99	0.0	1 шт	69.99	https://photos.okolo.app/product/1451803-main/320x320.jpeg
Варенье Global Village selection бруснично-апельсиновое с пряностями 310г	139.99	0.0	1 шт	139.99	https://photos.okolo.app/product/1445512-main/320x320.jpeg
Яйцо Конфитрейд Волшебное Яйцо с сюрпризом 20г	75.99	0.0	1 шт	75.99	https://photos.okolo.app/product/1439729-main/320x320.jpeg
Карамель Mixbar с начинкой жевательное ассорти 250г	64.99	16	1 шт	76.99	https://photos.okolo.app/product/1435531-main/320x320.jpeg
Печенье Юбилейное с овсяными хлопьями витаминизированное 268г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1435427-main/320x320.jpeg
Печенье Юбилейное Традиционное витаминизированное 268г	64.90	28	1 шт	89.99	https://photos.okolo.app/product/1435426-main/320x320.jpeg
Карамель Lenco Иммунцы леденцовая 14г	24.99	29	1 шт	34.99	https://photos.okolo.app/product/1435535-main/320x320.jpeg
Крекер Зерница с розмарином 180г	59.99	0.0	1 шт	59.99	https://photos.okolo.app/product/1437682-main/320x320.jpeg
Шоколад Россия - Щедрая Душа! Maxibon со вкусом клубники и печеньем 80г	87.99	0.0	1 шт	87.99	https://photos.okolo.app/product/1433514-main/320x320.jpeg
Мучное кондитерское изделие Orion Choco Pie Poppy в глазури, 360г	149.99	32	1 шт	219.99	https://photos.okolo.app/product/1433986-main/320x320.jpeg
Карамель Mixbar молочная 1 шт. в ассортименте 11.3г	5.99	25	1 шт	7.99	https://photos.okolo.app/product/1435551-main/320x320.jpeg
Варенье Варенька черносмородиновое 380г	118.99	15	1 шт	139.99	https://photos.okolo.app/product/1412571-main/320x320.jpeg
Варенье Варенька вишневое 380г	118.99	15	1 шт	139.99	https://photos.okolo.app/product/1412570-main/320x320.jpeg
Печенье Брянконфи Майская ночь сахарное 300г	71.99	0.0	1 шт	71.99	https://photos.okolo.app/product/1447601-main/320x320.jpeg
Печенье Сладкая слобода Деревенское К Кофе сахарное 355г	109.99	0.0	1 шт	109.99	https://photos.okolo.app/product/1412606-main/320x320.jpeg
