Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Кофе Paulig Classic crema в зернах 1кг;1299.00;13;1 шт;1493.85;https://photos.okolo.app/product/1241026-main/320x320.jpeg
Кофе Nescafe Classic растворимый 60г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1357907-main/320x320.jpeg
Кофе Nescafe Classic растворимый 190г;249.99;0.0;1 шт;249.99;https://photos.okolo.app/product/1202499-main/320x320.jpeg
Кофе Jacobs Barista Editions Crema натуральный жареный молотый, 230г;349.99;38;1 шт;559.99;https://photos.okolo.app/product/1202399-main/320x320.jpeg
Кофе Venetto растворимый сублимированный, 95г;179.99;14;1 шт;209.99;https://photos.okolo.app/product/1201339-main/320x320.jpeg
Напиток чайный Assand ромашка в пакетиках, 25х1.5г;74.99;12;1 шт;84.99;https://photos.okolo.app/product/1200944-main/320x320.jpeg
Чай Assand зелёный с мелиссой 25x1.5г;88.99;0.0;1 шт;88.99;https://photos.okolo.app/product/1200846-main/320x320.jpeg
Кофе Красная Цена растворимый сублимированный 70г;74.49;0.0;1 шт;74.49;https://photos.okolo.app/product/1200407-main/320x320.jpeg
Цикорий растворимый Большая чашка натуральный растворимый, 85г;209.99;30;1 шт;299.99;https://photos.okolo.app/product/1199122-main/320x320.jpeg
Напиток кофейный Nescafé Classic Cappuccino растворимый 18г;24.69;18;1 шт;29.99;https://photos.okolo.app/product/1194554-main/320x320.jpeg
Кофе Nescafe Gold растворимый 190г;734.99;0.0;1 шт;734.99;https://photos.okolo.app/product/1194547-main/320x320.jpeg
Кофе Nescafé Gold растворимый 130г;299.99;44;1 шт;539.99;https://photos.okolo.app/product/1194546-main/320x320.jpeg
Кофе Fresco Doppio растворимый с добавлением молотого, 100г;249.99;46;1 шт;459.99;https://photos.okolo.app/product/1192232-main/320x320.jpeg
Чай Assand черный с чабрецом 25х2г;84.99;0.0;1 шт;84.99;https://photos.okolo.app/product/1190400-main/320x320.jpeg
Чай Assand Authentic чёрный с мятой в пакетиках 25x2г;84.99;0.0;1 шт;84.99;https://photos.okolo.app/product/1190399-main/320x320.jpeg
Какао-напиток Ухтышки растворимый с витаминами 300г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1189990-main/320x320.jpeg
